Vollcode,aggregatie,Naam,code
"F85c","Buurt 2015","Jacob Geelbuurt","85c"
"K54c","Buurt 2015","Rijnbuurt Midden","54c"
"T96g","Buurt 2015","Reigersbos Zuid","96g"
"N60a","Buurt 2015","Van der Pekbuurt","60a"
"E37e","Buurt 2015","Erasmusparkbuurt Oost","37e"
"E38d","Buurt 2015","Robert Scottbuurt Oost","38d"
"K48b","Buurt 2015","Marathonbuurt Oost","48b"
"M33g","Buurt 2015","Entrepot-Noordwest","33g"
"K91b","Buurt 2015","Buitenveldert Oost Midden","91b"
"F88h","Buurt 2015","Nieuw Sloten Zuidwest","88h"
"F86d","Buurt 2015","Rembrandtpark Zuid","86d"
"M33a","Buurt 2015","Oostelijke Handelskade","33a"
"N64a","Buurt 2015","Buiksloterdijk West","64a"
"A01d","Buurt 2015","Spuistraat Noord","01d"
"K23e","Buurt 2015","Vivaldi","23e"
"T95b","Buurt 2015","Gaasperpark","95b"
"A05f","Buurt 2015","Planciusbuurt Noord","05f"
"N65a","Buurt 2015","Tuindorp Oostzaan West","65a"
"F76a","Buurt 2015","Buurt 3","76a"
"F88c","Buurt 2015","Nieuwe Meer","88c"
"M56i","Buurt 2015","Science Park Zuid","56i"
"M32b","Buurt 2015","Zuidoostkwadrant Indische buurt","32b"
"E42c","Buurt 2015","Orteliusbuurt Midden","42c"
"K49c","Buurt 2015","Hiltonbuurt","49c"
"A09a","Buurt 2015","Marine-Etablissement","09a"
"T96a","Buurt 2015","Holendrecht West","96a"
"N68c","Buurt 2015","Werengouw Midden","68c"
"T93c","Buurt 2015","D-buurt","93c"
"K91c","Buurt 2015","Buitenveldert Zuidoost","91c"
"A04i","Buurt 2015","Waterloopleinbuurt","04i"
"T95c","Buurt 2015","Gaasperplas","95c"
"E13f","Buurt 2015","Spaarndammerbuurt Noordwest","13f"
"T92g","Buurt 2015","Hoge Dijk","92g"
"F85b","Buurt 2015","Emanuel van Meterenbuurt","85b"
"F81d","Buurt 2015","Calandlaan/Lelylaan","81d"
"K47a","Buurt 2015","Johannnes Vermeerbuurt","47a"
"K23d","Buurt 2015","Zuidas Zuid","23d"
"K48e","Buurt 2015","IJsbaanpad e.o.","48e"
"K44b","Buurt 2015","Westlandgrachtbuurt","44b"
"K54e","Buurt 2015","Zorgvlied","54e"
"E13e","Buurt 2015","Spaarndammerbuurt Midden","13e"
"E18a","Buurt 2015","Bellamybuurt Noord","18a"
"E20a","Buurt 2015","Helmersbuurt Oost","20a"
"B10e","Buurt 2015","Vervoerscentrum","10e"
"E13d","Buurt 2015","Spaarndammerbuurt Zuidwest","13d"
"T97d","Buurt 2015","Gein Zuidoost","97d"
"F88j","Buurt 2015","Dorp Sloten","88j"
