Vollcode,aggregatie,Naam,code
"1072ES","Postcode 2016","1072ES",""
"1072ET","Postcode 2016","1072ET",""
"1072EV","Postcode 2016","1072EV",""
"1072EW","Postcode 2016","1072EW",""
"1072EX","Postcode 2016","1072EX",""
"1072EZ","Postcode 2016","1072EZ",""
"1072GA","Postcode 2016","1072GA",""
"1072GB","Postcode 2016","1072GB",""
"1072GC","Postcode 2016","1072GC",""
"1072GD","Postcode 2016","1072GD",""
"1072GE","Postcode 2016","1072GE",""
"1072GG","Postcode 2016","1072GG",""
"1072GH","Postcode 2016","1072GH",""
"1072GJ","Postcode 2016","1072GJ",""
"1072GK","Postcode 2016","1072GK",""
"1072GL","Postcode 2016","1072GL",""
"1072GM","Postcode 2016","1072GM",""
"1072GN","Postcode 2016","1072GN",""
"1072GP","Postcode 2016","1072GP",""
"1072GR","Postcode 2016","1072GR",""
"1072GS","Postcode 2016","1072GS",""
"1072GT","Postcode 2016","1072GT",""
"1072GV","Postcode 2016","1072GV",""
"1072GW","Postcode 2016","1072GW",""
"1072GX","Postcode 2016","1072GX",""
"1072GZ","Postcode 2016","1072GZ",""
"1072HA","Postcode 2016","1072HA",""
"1072HB","Postcode 2016","1072HB",""
"1072HC","Postcode 2016","1072HC",""
"1072HD","Postcode 2016","1072HD",""
"1072HE","Postcode 2016","1072HE",""
"1072HG","Postcode 2016","1072HG",""
"1072HH","Postcode 2016","1072HH",""
"1072HJ","Postcode 2016","1072HJ",""
"1072HK","Postcode 2016","1072HK",""
"1072HL","Postcode 2016","1072HL",""
"1072HM","Postcode 2016","1072HM",""
"1072HN","Postcode 2016","1072HN",""
"1072HP","Postcode 2016","1072HP",""
"1072HR","Postcode 2016","1072HR",""
"1072HS","Postcode 2016","1072HS",""
"1072HT","Postcode 2016","1072HT",""
"1072HV","Postcode 2016","1072HV",""
"1072JA","Postcode 2016","1072JA",""
"1072JB","Postcode 2016","1072JB",""
"1072JC","Postcode 2016","1072JC",""
"1072JD","Postcode 2016","1072JD",""
"1072JE","Postcode 2016","1072JE",""
"1072JG","Postcode 2016","1072JG",""
"1072JH","Postcode 2016","1072JH",""
"1072JJ","Postcode 2016","1072JJ",""
"1072JK","Postcode 2016","1072JK",""
"1072JL","Postcode 2016","1072JL",""
"1072JM","Postcode 2016","1072JM",""
"1072JN","Postcode 2016","1072JN",""
"1072JP","Postcode 2016","1072JP",""
"1072JR","Postcode 2016","1072JR",""
"1072JS","Postcode 2016","1072JS",""
"1072JT","Postcode 2016","1072JT",""
"1072JV","Postcode 2016","1072JV",""
"1072JW","Postcode 2016","1072JW",""
"1072JX","Postcode 2016","1072JX",""
"1072JZ","Postcode 2016","1072JZ",""
"1072KA","Postcode 2016","1072KA",""
"1072KD","Postcode 2016","1072KD",""
"1072KE","Postcode 2016","1072KE",""
"1072KG","Postcode 2016","1072KG",""
"1072KH","Postcode 2016","1072KH",""
"1072KJ","Postcode 2016","1072KJ",""
"1072KK","Postcode 2016","1072KK",""
"1072KN","Postcode 2016","1072KN",""
"1072KP","Postcode 2016","1072KP",""
"1072KV","Postcode 2016","1072KV",""
"1072KW","Postcode 2016","1072KW",""
"1072KX","Postcode 2016","1072KX",""
"1072KZ","Postcode 2016","1072KZ",""
"1072LA","Postcode 2016","1072LA",""
"1072LB","Postcode 2016","1072LB",""
"1072LC","Postcode 2016","1072LC",""
"1072LD","Postcode 2016","1072LD",""
"1072LE","Postcode 2016","1072LE",""
"1072LG","Postcode 2016","1072LG",""
"1072LH","Postcode 2016","1072LH",""
"1072LJ","Postcode 2016","1072LJ",""
"1072LK","Postcode 2016","1072LK",""
"1072LL","Postcode 2016","1072LL",""
"1072LM","Postcode 2016","1072LM",""
"1072LN","Postcode 2016","1072LN",""
"1072LP","Postcode 2016","1072LP",""
"1072LR","Postcode 2016","1072LR",""
"1072LS","Postcode 2016","1072LS",""
"1072LT","Postcode 2016","1072LT",""
"1072LV","Postcode 2016","1072LV",""
"1072LW","Postcode 2016","1072LW",""
"1072LZ","Postcode 2016","1072LZ",""
"1072MA","Postcode 2016","1072MA",""
"1072MB","Postcode 2016","1072MB",""
"1072ME","Postcode 2016","1072ME",""
"1072MG","Postcode 2016","1072MG",""
"1072MH","Postcode 2016","1072MH",""
"1072MK","Postcode 2016","1072MK",""
"1072ML","Postcode 2016","1072ML",""
"1072MN","Postcode 2016","1072MN",""
"1072NA","Postcode 2016","1072NA",""
"1072NB","Postcode 2016","1072NB",""
"1072NC","Postcode 2016","1072NC",""
"1072ND","Postcode 2016","1072ND",""
"1072NE","Postcode 2016","1072NE",""
"1072NG","Postcode 2016","1072NG",""
"1072NH","Postcode 2016","1072NH",""
"1072NJ","Postcode 2016","1072NJ",""
"1072NK","Postcode 2016","1072NK",""
"1072NL","Postcode 2016","1072NL",""
"1072NM","Postcode 2016","1072NM",""
"1072NN","Postcode 2016","1072NN",""
"1072NP","Postcode 2016","1072NP",""
"1072NR","Postcode 2016","1072NR",""
"1072NS","Postcode 2016","1072NS",""
"1072NT","Postcode 2016","1072NT",""
"1072NV","Postcode 2016","1072NV",""
"1072NX","Postcode 2016","1072NX",""
"1072NZ","Postcode 2016","1072NZ",""
"1072PA","Postcode 2016","1072PA",""
"1072PB","Postcode 2016","1072PB",""
"1072PC","Postcode 2016","1072PC",""
"1072PD","Postcode 2016","1072PD",""
"1072PE","Postcode 2016","1072PE",""
"1072PG","Postcode 2016","1072PG",""
"1072PH","Postcode 2016","1072PH",""
"1072PJ","Postcode 2016","1072PJ",""
"1072PL","Postcode 2016","1072PL",""
"1072PM","Postcode 2016","1072PM",""
"1072PN","Postcode 2016","1072PN",""
"1072RA","Postcode 2016","1072RA",""
"1072RB","Postcode 2016","1072RB",""
"1072RC","Postcode 2016","1072RC",""
"1072RD","Postcode 2016","1072RD",""
"1072RE","Postcode 2016","1072RE",""
"1072RG","Postcode 2016","1072RG",""
"1072RS","Postcode 2016","1072RS",""
"1072RT","Postcode 2016","1072RT",""
"1072RV","Postcode 2016","1072RV",""
"1072RW","Postcode 2016","1072RW",""
"1072RX","Postcode 2016","1072RX",""
"1072SB","Postcode 2016","1072SB",""
"1072SC","Postcode 2016","1072SC",""
"1072SE","Postcode 2016","1072SE",""
"1072SG","Postcode 2016","1072SG",""
"1072SH","Postcode 2016","1072SH",""
"1072SJ","Postcode 2016","1072SJ",""
"1072SK","Postcode 2016","1072SK",""
"1072SL","Postcode 2016","1072SL",""
"1072SM","Postcode 2016","1072SM",""
"1072SN","Postcode 2016","1072SN",""
"1072SP","Postcode 2016","1072SP",""
"1072SR","Postcode 2016","1072SR",""
"1072ST","Postcode 2016","1072ST",""
"1072SV","Postcode 2016","1072SV",""
"1072SW","Postcode 2016","1072SW",""
"1072SX","Postcode 2016","1072SX",""
"1072SZ","Postcode 2016","1072SZ",""
"1072TA","Postcode 2016","1072TA",""
"1072TB","Postcode 2016","1072TB",""
"1072TC","Postcode 2016","1072TC",""
"1072TD","Postcode 2016","1072TD",""
"1072TE","Postcode 2016","1072TE",""
"1072TG","Postcode 2016","1072TG",""
"1072TH","Postcode 2016","1072TH",""
"1072TJ","Postcode 2016","1072TJ",""
"1072TK","Postcode 2016","1072TK",""
"1072TL","Postcode 2016","1072TL",""
"1072TM","Postcode 2016","1072TM",""
"1072TN","Postcode 2016","1072TN",""
"1072TP","Postcode 2016","1072TP",""
"1072TR","Postcode 2016","1072TR",""
"1072TS","Postcode 2016","1072TS",""
"1072TT","Postcode 2016","1072TT",""
"1072TV","Postcode 2016","1072TV",""
"1072TW","Postcode 2016","1072TW",""
"1072TX","Postcode 2016","1072TX",""
"1072TZ","Postcode 2016","1072TZ",""
"1072VA","Postcode 2016","1072VA",""
"1072VB","Postcode 2016","1072VB",""
"1072VC","Postcode 2016","1072VC",""
"1072VD","Postcode 2016","1072VD",""
"1072VE","Postcode 2016","1072VE",""
"1072VG","Postcode 2016","1072VG",""
"1072VH","Postcode 2016","1072VH",""
"1072VJ","Postcode 2016","1072VJ",""
"1072VK","Postcode 2016","1072VK",""
"1072VL","Postcode 2016","1072VL",""
"1072VM","Postcode 2016","1072VM",""
"1072VN","Postcode 2016","1072VN",""
"1072VP","Postcode 2016","1072VP",""
"1072VR","Postcode 2016","1072VR",""
"1072VS","Postcode 2016","1072VS",""
"1072VT","Postcode 2016","1072VT",""
"1072VV","Postcode 2016","1072VV",""
"1072VW","Postcode 2016","1072VW",""
"1072VX","Postcode 2016","1072VX",""
"1072VZ","Postcode 2016","1072VZ",""
"1072XA","Postcode 2016","1072XA",""
"1072XB","Postcode 2016","1072XB",""
"1072XC","Postcode 2016","1072XC",""
"1072XD","Postcode 2016","1072XD",""
"1072XE","Postcode 2016","1072XE",""
"1072XG","Postcode 2016","1072XG",""
"1072XH","Postcode 2016","1072XH",""
"1072XJ","Postcode 2016","1072XJ",""
"1072XK","Postcode 2016","1072XK",""
"1072XL","Postcode 2016","1072XL",""
"1072XM","Postcode 2016","1072XM",""
"1072XN","Postcode 2016","1072XN",""
"1072XP","Postcode 2016","1072XP",""
"1072XR","Postcode 2016","1072XR",""
"1072XS","Postcode 2016","1072XS",""
"1072XT","Postcode 2016","1072XT",""
"1072XV","Postcode 2016","1072XV",""
"1072XW","Postcode 2016","1072XW",""
"1072XX","Postcode 2016","1072XX",""
"1072XZ","Postcode 2016","1072XZ",""
"1072ZA","Postcode 2016","1072ZA",""
"1073AA","Postcode 2016","1073AA",""
"1073AB","Postcode 2016","1073AB",""
"1073AC","Postcode 2016","1073AC",""
"1073AD","Postcode 2016","1073AD",""
"1073AE","Postcode 2016","1073AE",""
"1073AG","Postcode 2016","1073AG",""
"1073AH","Postcode 2016","1073AH",""
"1073AJ","Postcode 2016","1073AJ",""
"1073AK","Postcode 2016","1073AK",""
"1073AL","Postcode 2016","1073AL",""
"1073AM","Postcode 2016","1073AM",""
"1073AN","Postcode 2016","1073AN",""
"1073AP","Postcode 2016","1073AP",""
"1073AR","Postcode 2016","1073AR",""
"1073AS","Postcode 2016","1073AS",""
"1073AT","Postcode 2016","1073AT",""
"1073AV","Postcode 2016","1073AV",""
"1073AW","Postcode 2016","1073AW",""
"1073AX","Postcode 2016","1073AX",""
"1073AZ","Postcode 2016","1073AZ",""
"1073BA","Postcode 2016","1073BA",""
"1073BB","Postcode 2016","1073BB",""
"1073BC","Postcode 2016","1073BC",""
"1073BD","Postcode 2016","1073BD",""
"1073BE","Postcode 2016","1073BE",""
"1073BG","Postcode 2016","1073BG",""
"1073BH","Postcode 2016","1073BH",""
"1073BJ","Postcode 2016","1073BJ",""
"1073BK","Postcode 2016","1073BK",""
"1073BL","Postcode 2016","1073BL",""
"1073BM","Postcode 2016","1073BM",""
"1073BN","Postcode 2016","1073BN",""
"1073BP","Postcode 2016","1073BP",""
"1073BR","Postcode 2016","1073BR",""
"1073BS","Postcode 2016","1073BS",""
"1073BT","Postcode 2016","1073BT",""
"1073BV","Postcode 2016","1073BV",""
"1073BW","Postcode 2016","1073BW",""
"1073BX","Postcode 2016","1073BX",""
"1073BZ","Postcode 2016","1073BZ",""
"1073CA","Postcode 2016","1073CA",""
"1073CB","Postcode 2016","1073CB",""
"1073CC","Postcode 2016","1073CC",""
"1073CD","Postcode 2016","1073CD",""
"1073CE","Postcode 2016","1073CE",""
"1073CG","Postcode 2016","1073CG",""
"1073CH","Postcode 2016","1073CH",""
"1073CJ","Postcode 2016","1073CJ",""
"1073CK","Postcode 2016","1073CK",""
"1073CL","Postcode 2016","1073CL",""
"1073CM","Postcode 2016","1073CM",""
"1073CN","Postcode 2016","1073CN",""
"1073CP","Postcode 2016","1073CP",""
"1073CR","Postcode 2016","1073CR",""
"1073CS","Postcode 2016","1073CS",""
"1073CT","Postcode 2016","1073CT",""
"1073CV","Postcode 2016","1073CV",""
"1073CW","Postcode 2016","1073CW",""
"1073CX","Postcode 2016","1073CX",""
"1073CZ","Postcode 2016","1073CZ",""
"1073EA","Postcode 2016","1073EA",""
"1073EB","Postcode 2016","1073EB",""
"1073EC","Postcode 2016","1073EC",""
"1073ED","Postcode 2016","1073ED",""
"1073EE","Postcode 2016","1073EE",""
"1073EG","Postcode 2016","1073EG",""
"1073EH","Postcode 2016","1073EH",""
"1073EJ","Postcode 2016","1073EJ",""
"1073EK","Postcode 2016","1073EK",""
"1073EL","Postcode 2016","1073EL",""
"1073EM","Postcode 2016","1073EM",""
"1073EN","Postcode 2016","1073EN",""
"1073EP","Postcode 2016","1073EP",""
"1073ER","Postcode 2016","1073ER",""
"1073ES","Postcode 2016","1073ES",""
"1073ET","Postcode 2016","1073ET",""
"1073EV","Postcode 2016","1073EV",""
"1073EW","Postcode 2016","1073EW",""
"1073EX","Postcode 2016","1073EX",""
"1073EZ","Postcode 2016","1073EZ",""
"1073GA","Postcode 2016","1073GA",""
"1073GB","Postcode 2016","1073GB",""
"1073GC","Postcode 2016","1073GC",""
"1073GD","Postcode 2016","1073GD",""
"1073GE","Postcode 2016","1073GE",""
"1073GG","Postcode 2016","1073GG",""
"1073GH","Postcode 2016","1073GH",""
"1073GJ","Postcode 2016","1073GJ",""
"1073GK","Postcode 2016","1073GK",""
"1073GL","Postcode 2016","1073GL",""
"1073GM","Postcode 2016","1073GM",""
"1073GN","Postcode 2016","1073GN",""
"1073GP","Postcode 2016","1073GP",""
"1073GR","Postcode 2016","1073GR",""
"1073GS","Postcode 2016","1073GS",""
"1073GT","Postcode 2016","1073GT",""
"1073GV","Postcode 2016","1073GV",""
"1073GW","Postcode 2016","1073GW",""
"1073GX","Postcode 2016","1073GX",""
"1073GZ","Postcode 2016","1073GZ",""
"1073HA","Postcode 2016","1073HA",""
"1073HB","Postcode 2016","1073HB",""
"1073HC","Postcode 2016","1073HC",""
"1073HD","Postcode 2016","1073HD",""
"1073HE","Postcode 2016","1073HE",""
"1073HG","Postcode 2016","1073HG",""
"1073HH","Postcode 2016","1073HH",""
"1073HJ","Postcode 2016","1073HJ",""
"1073HK","Postcode 2016","1073HK",""
"1073HL","Postcode 2016","1073HL",""
"1073HM","Postcode 2016","1073HM",""
"1073HN","Postcode 2016","1073HN",""
"1073HP","Postcode 2016","1073HP",""
"1073HR","Postcode 2016","1073HR",""
"1073HS","Postcode 2016","1073HS",""
"1073HT","Postcode 2016","1073HT",""
"1073HV","Postcode 2016","1073HV",""
"1073HW","Postcode 2016","1073HW",""
"1073HX","Postcode 2016","1073HX",""
"1073HZ","Postcode 2016","1073HZ",""
"1073JA","Postcode 2016","1073JA",""
"1073JB","Postcode 2016","1073JB",""
"1073JC","Postcode 2016","1073JC",""
"1073JD","Postcode 2016","1073JD",""
"1073JE","Postcode 2016","1073JE",""
"1073JG","Postcode 2016","1073JG",""
"1073JH","Postcode 2016","1073JH",""
"1073JJ","Postcode 2016","1073JJ",""
"1073JK","Postcode 2016","1073JK",""
"1073JL","Postcode 2016","1073JL",""
"1073JM","Postcode 2016","1073JM",""
"1073JN","Postcode 2016","1073JN",""
"1073JP","Postcode 2016","1073JP",""
"1073JR","Postcode 2016","1073JR",""
"1073JS","Postcode 2016","1073JS",""
"1073JT","Postcode 2016","1073JT",""
"1073JV","Postcode 2016","1073JV",""
"1073JW","Postcode 2016","1073JW",""
"1073JX","Postcode 2016","1073JX",""
"1073KA","Postcode 2016","1073KA",""
"1073KB","Postcode 2016","1073KB",""
"1073KC","Postcode 2016","1073KC",""
"1073KD","Postcode 2016","1073KD",""
"1073KG","Postcode 2016","1073KG",""
"1073KH","Postcode 2016","1073KH",""
"1073KJ","Postcode 2016","1073KJ",""
"1073KK","Postcode 2016","1073KK",""
"1073KL","Postcode 2016","1073KL",""
"1073KM","Postcode 2016","1073KM",""
"1073KN","Postcode 2016","1073KN",""
"1073KP","Postcode 2016","1073KP",""
"1073KR","Postcode 2016","1073KR",""
"1073KS","Postcode 2016","1073KS",""
"1073KT","Postcode 2016","1073KT",""
"1073KV","Postcode 2016","1073KV",""
"1073KW","Postcode 2016","1073KW",""
"1073KX","Postcode 2016","1073KX",""
"1073KZ","Postcode 2016","1073KZ",""
"1073LA","Postcode 2016","1073LA",""
"1073LB","Postcode 2016","1073LB",""
"1073LC","Postcode 2016","1073LC",""
"1073LD","Postcode 2016","1073LD",""
"1073LE","Postcode 2016","1073LE",""
"1073LG","Postcode 2016","1073LG",""
"1073LH","Postcode 2016","1073LH",""
"1073LJ","Postcode 2016","1073LJ",""
"1073LK","Postcode 2016","1073LK",""
"1073LL","Postcode 2016","1073LL",""
"1073LM","Postcode 2016","1073LM",""
"1073LN","Postcode 2016","1073LN",""
"1073LP","Postcode 2016","1073LP",""
"1073LR","Postcode 2016","1073LR",""
"1073LS","Postcode 2016","1073LS",""
"1073LT","Postcode 2016","1073LT",""
"1073LV","Postcode 2016","1073LV",""
"1073LW","Postcode 2016","1073LW",""
"1073LX","Postcode 2016","1073LX",""
"1073LZ","Postcode 2016","1073LZ",""
"1073NA","Postcode 2016","1073NA",""
"1073NB","Postcode 2016","1073NB",""
"1073NC","Postcode 2016","1073NC",""
"1073ND","Postcode 2016","1073ND",""
"1073PW","Postcode 2016","1073PW",""
"1073PX","Postcode 2016","1073PX",""
"1073PZ","Postcode 2016","1073PZ",""
"1073RA","Postcode 2016","1073RA",""
"1073RB","Postcode 2016","1073RB",""
"1073RC","Postcode 2016","1073RC",""
"1073RD","Postcode 2016","1073RD",""
"1073RE","Postcode 2016","1073RE",""
"1073RG","Postcode 2016","1073RG",""
"1073RH","Postcode 2016","1073RH",""
"1073RJ","Postcode 2016","1073RJ",""
"1073RK","Postcode 2016","1073RK",""
"1073RL","Postcode 2016","1073RL",""
"1073RM","Postcode 2016","1073RM",""
"1073RN","Postcode 2016","1073RN",""
"1073RP","Postcode 2016","1073RP",""
"1073RR","Postcode 2016","1073RR",""
"1073RS","Postcode 2016","1073RS",""
"1073RT","Postcode 2016","1073RT",""
"1073RV","Postcode 2016","1073RV",""
"1073RW","Postcode 2016","1073RW",""
"1073RX","Postcode 2016","1073RX",""
"1073RZ","Postcode 2016","1073RZ",""
"1073SB","Postcode 2016","1073SB",""
"1073SC","Postcode 2016","1073SC",""
"1073SE","Postcode 2016","1073SE",""
"1073SG","Postcode 2016","1073SG",""
"1073SH","Postcode 2016","1073SH",""
"1073SJ","Postcode 2016","1073SJ",""
"1073SK","Postcode 2016","1073SK",""
"1073SL","Postcode 2016","1073SL",""
"1073SM","Postcode 2016","1073SM",""
"1073SN","Postcode 2016","1073SN",""
"1073SP","Postcode 2016","1073SP",""
"1073SR","Postcode 2016","1073SR",""
"1073ST","Postcode 2016","1073ST",""
"1073SV","Postcode 2016","1073SV",""
"1073SW","Postcode 2016","1073SW",""
"1073SX","Postcode 2016","1073SX",""
"1073SZ","Postcode 2016","1073SZ",""
"1073TB","Postcode 2016","1073TB",""
"1073TC","Postcode 2016","1073TC",""
"1073TD","Postcode 2016","1073TD",""
"1073TE","Postcode 2016","1073TE",""
"1073TG","Postcode 2016","1073TG",""
"1073TH","Postcode 2016","1073TH",""
"1073TJ","Postcode 2016","1073TJ",""
"1073TK","Postcode 2016","1073TK",""
"1073TL","Postcode 2016","1073TL",""
"1073TM","Postcode 2016","1073TM",""
"1073TN","Postcode 2016","1073TN",""
"1073TP","Postcode 2016","1073TP",""
"1073TR","Postcode 2016","1073TR",""
"1073TS","Postcode 2016","1073TS",""
"1073TT","Postcode 2016","1073TT",""
"1073TV","Postcode 2016","1073TV",""
"1073TW","Postcode 2016","1073TW",""
"1073TX","Postcode 2016","1073TX",""
"1073TZ","Postcode 2016","1073TZ",""
"1073VA","Postcode 2016","1073VA",""
"1073VB","Postcode 2016","1073VB",""
"1073VC","Postcode 2016","1073VC",""
"1073VD","Postcode 2016","1073VD",""
"1073VE","Postcode 2016","1073VE",""
"1073VG","Postcode 2016","1073VG",""
"1073VH","Postcode 2016","1073VH",""
"1073VJ","Postcode 2016","1073VJ",""
"1073VK","Postcode 2016","1073VK",""
"1073VL","Postcode 2016","1073VL",""
"1073VM","Postcode 2016","1073VM",""
"1073VN","Postcode 2016","1073VN",""
"1073VP","Postcode 2016","1073VP",""
"1073VR","Postcode 2016","1073VR",""
"1073VS","Postcode 2016","1073VS",""
"1073VT","Postcode 2016","1073VT",""
"1073VV","Postcode 2016","1073VV",""
"1073VW","Postcode 2016","1073VW",""
"1073VX","Postcode 2016","1073VX",""
"1073VZ","Postcode 2016","1073VZ",""
"1073XA","Postcode 2016","1073XA",""
"1073XB","Postcode 2016","1073XB",""
"1073XC","Postcode 2016","1073XC",""
"1073XD","Postcode 2016","1073XD",""
"1073XE","Postcode 2016","1073XE",""
"1073XG","Postcode 2016","1073XG",""
"1073XH","Postcode 2016","1073XH",""
"1073XJ","Postcode 2016","1073XJ",""
"1073XK","Postcode 2016","1073XK",""
"1073XL","Postcode 2016","1073XL",""
"1073XM","Postcode 2016","1073XM",""
"1073XN","Postcode 2016","1073XN",""
"1073XP","Postcode 2016","1073XP",""
"1073XR","Postcode 2016","1073XR",""
"1073XS","Postcode 2016","1073XS",""
"1073XT","Postcode 2016","1073XT",""
"1073XV","Postcode 2016","1073XV",""
"1073XW","Postcode 2016","1073XW",""
"1073XX","Postcode 2016","1073XX",""
"1073XZ","Postcode 2016","1073XZ",""
"1074AA","Postcode 2016","1074AA",""
"1074AB","Postcode 2016","1074AB",""
"1074AC","Postcode 2016","1074AC",""
"1074AD","Postcode 2016","1074AD",""
"1074AE","Postcode 2016","1074AE",""
"1074AG","Postcode 2016","1074AG",""
"1074AH","Postcode 2016","1074AH",""
"1074AJ","Postcode 2016","1074AJ",""
"1074AK","Postcode 2016","1074AK",""
"1074AL","Postcode 2016","1074AL",""
"1074AM","Postcode 2016","1074AM",""
"1074AN","Postcode 2016","1074AN",""
"1074AP","Postcode 2016","1074AP",""
"1074AR","Postcode 2016","1074AR",""
"1074AS","Postcode 2016","1074AS",""
"1074AT","Postcode 2016","1074AT",""
"1074AV","Postcode 2016","1074AV",""
"1074AW","Postcode 2016","1074AW",""
"1074AX","Postcode 2016","1074AX",""
"1074AZ","Postcode 2016","1074AZ",""
"1074BA","Postcode 2016","1074BA",""
"1074BB","Postcode 2016","1074BB",""
"1074BC","Postcode 2016","1074BC",""
"1074BD","Postcode 2016","1074BD",""
"1074BE","Postcode 2016","1074BE",""
"1074BG","Postcode 2016","1074BG",""
"1074BH","Postcode 2016","1074BH",""
"1074BJ","Postcode 2016","1074BJ",""
"1074BK","Postcode 2016","1074BK",""
"1074BL","Postcode 2016","1074BL",""
"1074BM","Postcode 2016","1074BM",""
"1074BN","Postcode 2016","1074BN",""
"1074BP","Postcode 2016","1074BP",""
"1074BR","Postcode 2016","1074BR",""
"1074BS","Postcode 2016","1074BS",""
"1074BT","Postcode 2016","1074BT",""
"1074CA","Postcode 2016","1074CA",""
"1074CB","Postcode 2016","1074CB",""
"1074CC","Postcode 2016","1074CC",""
"1074CD","Postcode 2016","1074CD",""
"1074CE","Postcode 2016","1074CE",""
"1074CG","Postcode 2016","1074CG",""
"1074CH","Postcode 2016","1074CH",""
"1074CJ","Postcode 2016","1074CJ",""
"1074CK","Postcode 2016","1074CK",""
"1074CL","Postcode 2016","1074CL",""
"1074CM","Postcode 2016","1074CM",""
"1074CN","Postcode 2016","1074CN",""
"1074CP","Postcode 2016","1074CP",""
"1074CR","Postcode 2016","1074CR",""
"1074CS","Postcode 2016","1074CS",""
"1074CT","Postcode 2016","1074CT",""
"1074CV","Postcode 2016","1074CV",""
"1074CW","Postcode 2016","1074CW",""
"1074CX","Postcode 2016","1074CX",""
"1074CZ","Postcode 2016","1074CZ",""
"1074DA","Postcode 2016","1074DA",""
"1074DB","Postcode 2016","1074DB",""
"1074EA","Postcode 2016","1074EA",""
"1074EB","Postcode 2016","1074EB",""
"1074EC","Postcode 2016","1074EC",""
"1074ED","Postcode 2016","1074ED",""
"1074EE","Postcode 2016","1074EE",""
"1074EG","Postcode 2016","1074EG",""
"1074EH","Postcode 2016","1074EH",""
"1074EJ","Postcode 2016","1074EJ",""
"1074EK","Postcode 2016","1074EK",""
"1074EL","Postcode 2016","1074EL",""
"1074EM","Postcode 2016","1074EM",""
"1074EN","Postcode 2016","1074EN",""
"1074EP","Postcode 2016","1074EP",""
"1074ER","Postcode 2016","1074ER",""
"1074ES","Postcode 2016","1074ES",""
"1074ET","Postcode 2016","1074ET",""
"1074EV","Postcode 2016","1074EV",""
"1074EW","Postcode 2016","1074EW",""
"1074EX","Postcode 2016","1074EX",""
"1074EZ","Postcode 2016","1074EZ",""
"1074GA","Postcode 2016","1074GA",""
"1074GC","Postcode 2016","1074GC",""
"1074GD","Postcode 2016","1074GD",""
"1074GG","Postcode 2016","1074GG",""
"1074GH","Postcode 2016","1074GH",""
"1074GJ","Postcode 2016","1074GJ",""
"1074GK","Postcode 2016","1074GK",""
"1074GL","Postcode 2016","1074GL",""
"1074GM","Postcode 2016","1074GM",""
"1074GN","Postcode 2016","1074GN",""
"1074GP","Postcode 2016","1074GP",""
"1074GR","Postcode 2016","1074GR",""
"1074GS","Postcode 2016","1074GS",""
"1074GX","Postcode 2016","1074GX",""
"1074GZ","Postcode 2016","1074GZ",""
"1074HA","Postcode 2016","1074HA",""
"1074HB","Postcode 2016","1074HB",""
"1074HC","Postcode 2016","1074HC",""
"1074HD","Postcode 2016","1074HD",""
"1074HE","Postcode 2016","1074HE",""
"1074HG","Postcode 2016","1074HG",""
"1074HH","Postcode 2016","1074HH",""
"1074HJ","Postcode 2016","1074HJ",""
"1074HK","Postcode 2016","1074HK",""
"1074HL","Postcode 2016","1074HL",""
"1074HM","Postcode 2016","1074HM",""
"1074HN","Postcode 2016","1074HN",""
"1074HP","Postcode 2016","1074HP",""
"1074HR","Postcode 2016","1074HR",""
"1074HS","Postcode 2016","1074HS",""
"1074HT","Postcode 2016","1074HT",""
"1074HV","Postcode 2016","1074HV",""
"1074HW","Postcode 2016","1074HW",""
"1074HX","Postcode 2016","1074HX",""
"1074HZ","Postcode 2016","1074HZ",""
"1074JA","Postcode 2016","1074JA",""
"1074JB","Postcode 2016","1074JB",""
"1074JC","Postcode 2016","1074JC",""
"1074JD","Postcode 2016","1074JD",""
"1074JE","Postcode 2016","1074JE",""
"1074JG","Postcode 2016","1074JG",""
"1074JH","Postcode 2016","1074JH",""
"1074JJ","Postcode 2016","1074JJ",""
"1074JK","Postcode 2016","1074JK",""
"1074JL","Postcode 2016","1074JL",""
"1074JM","Postcode 2016","1074JM",""
"1074JN","Postcode 2016","1074JN",""
"1074SP","Postcode 2016","1074SP",""
"1074SR","Postcode 2016","1074SR",""
"1074ST","Postcode 2016","1074ST",""
"1074SV","Postcode 2016","1074SV",""
"1074SW","Postcode 2016","1074SW",""
"1074SX","Postcode 2016","1074SX",""
"1074SZ","Postcode 2016","1074SZ",""
"1074TA","Postcode 2016","1074TA",""
"1074TB","Postcode 2016","1074TB",""
"1074TC","Postcode 2016","1074TC",""
"1074TK","Postcode 2016","1074TK",""
"1074TL","Postcode 2016","1074TL",""
"1074TM","Postcode 2016","1074TM",""
"1074TN","Postcode 2016","1074TN",""
"1074TP","Postcode 2016","1074TP",""
"1074TR","Postcode 2016","1074TR",""
"1074TS","Postcode 2016","1074TS",""
"1074TT","Postcode 2016","1074TT",""
"1074TV","Postcode 2016","1074TV",""
"1074TW","Postcode 2016","1074TW",""
"1074TX","Postcode 2016","1074TX",""
"1074TZ","Postcode 2016","1074TZ",""
"1074VA","Postcode 2016","1074VA",""
"1074VB","Postcode 2016","1074VB",""
"1074VC","Postcode 2016","1074VC",""
"1074VD","Postcode 2016","1074VD",""
"1074VE","Postcode 2016","1074VE",""
"1074VG","Postcode 2016","1074VG",""
"1074VH","Postcode 2016","1074VH",""
"1074VJ","Postcode 2016","1074VJ",""
"1074VK","Postcode 2016","1074VK",""
